Municipality_ID,Municipality,Province,Year,Region_Group,Population,Bankrupt,Total Revenues_pc,"Current Tax, Contribution & Equalization Revenues_pc",Non‑Tax Revenues_pc,Current Transfers_pc,Revenues from Financial Asset Reduction_pc,Capital Revenues_pc,Treasurer/Cashier Advances_pc,Third‑Party & Giro Revenues_pc,Loan Uptake_pc,Total Expenses_pc,Administrative Deficit_pc,Public Debt_pc,Funds & Reserves_pc,Financial Advances_pc,Land Planning & Housing_pc,"Agriculture, Agri‑food Policies & Fisheries_pc",Economic Development & Competitiveness_pc,Energy & Diversification of Sources_pc,Sustainable Development & Environmental Protection_pc,Transport & Right to Mobility_pc,Tourism_pc,Justice_pc,Public Order & Safety_pc,Education & Right to Study_pc,"Social Rights, Policies & Family_pc",Employment & Vocational Training_pc,"Youth Policies, Sports & Leisure_pc",Civil Rescue_pc,Health Protection_pc,Cultural Heritage Protection & Enhancement_pc,"Institutional, General & Management Services_pc",Services for Third Parties_pc,Relations with Other Local Authorities_pc,International Relations_pc,Municipal Fragility Index (MFI) - (Decile),Employment rate (20-64 years),Population aged 25-64 with an educational qualification no higher than lower secondary education,Population growth rate
78010,AMANTEA,CS,2017,Sud,14082,1,5327.040761255504,1613.9725181082233,1052.100837949155,329.8350376366993,0.0,644.7881692941344,850.5602897315722,223.74435449510014,612.0396250532594,4311.993111773896,0.0,156.30109359465985,233.46371254083226,874.8830421815084,140.42586280357904,0.0,101.94084647067179,0.08038630876295981,1145.8695497798608,518.9680443118875,26.94475216588553,0.10758414997869621,91.0977844056242,126.71509728731714,258.8783553472518,39.1068740235762,50.42763811958529,1.867987501775316,0.0,42.704800454480896,257.07271694361594,245.13712540832267,0.0,0.0,6,54.18,29.58,31.99
4006,ARGENTERA,CN,2017,Nord-ovest,77,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,78.26,46.67,136.99
80043,LOCRI,RC,2017,Sud,12421,1,988.1967635456083,396.2289670718944,153.40262458739232,101.83680863054505,0.0,61.50116737782787,0.0,236.5617905160615,38.665405361887125,1019.10466146043,,61.35174301586024,0.0,0.0,16.764028661138394,0.0,0.0,0.0,214.1597294903792,47.00547459946864,3.8322196280492715,21.96988970292247,33.60896868207069,81.16206424603494,49.51348522663232,0.0,1.805490701231785,0.0,0.0,12.244344255696,240.4114000483053,235.2759037114564,0.0,0.0,7,56.26,32.64,-28.62
56023,CORCHIANO,VT,2017,Centro,3738,1,2384.1843231674693,822.9154628143392,214.06902086677368,164.9708400214018,0.0,204.58186195826644,802.5682182985554,157.59577314071697,17.482878544676296,2384.1843231674693,20.196361690743714,116.24612092027823,0.0,930.7926698769395,33.01310861423221,0.0,0.0,37.28785446762975,297.4489031567683,22.42562867843767,1.6051364365971108,0.0,43.873729266987695,69.29347244515783,99.67924023542001,0.0,5.063402889245586,7.407437132156233,0.0,27.936597110754413,524.4529159978598,167.65783841626538,0.0,0.0,7,59.33,39.81,-17.65
80038,GIOIA TAURO,RC,2017,Sud,20078,1,1702.1131586811434,424.68378324534314,372.77926088255805,186.40726167945016,0.04213567088355414,127.68194043231398,498.05757545572266,92.40626556429923,0.054935750572766215,1701.9127403127802,0.0,36.25580237075406,4.9805757545572265,498.80466181890625,167.22387688016735,0.0,1.9424245442773185,0.0,439.72716406016536,0.0,0.0,0.0,17.235282398645282,18.88898296643092,84.16864229504931,0.0,51.31596772586911,2.4902878772786132,0.0,12.10259986054388,289.0296842314972,77.74678752863831,0.0,0.0,8,48.78,43.14,-3.17
102027,PIZZO,VV,2017,Sud,9278,1,1358.7859452468203,519.9519292951067,154.08687217072645,110.09301573615004,0.0,52.23550334123733,20.623733563267944,498.8982539340375,2.89663720629446,1493.5673636559604,,67.90515197240785,12.207372278508299,20.623733563267944,31.285621901271824,0.0,0.0,0.0,351.5933390816986,44.94179780125027,0.0,0.08212976934684199,24.473054537615866,24.35082992024143,17.040525975425737,0.0,7.4535460228497525,1.8360638068549255,0.0,6.923043759430912,357.21933606380685,525.6317094201337,0.0,0.0,8,47.51,29.78,6.81
76053,MURO LUCANO,PZ,2017,Sud,5304,1,2491.356334841629,413.4794494720965,67.37462292609351,517.9958521870286,0.0,123.07824283559577,1098.0214932126696,271.40648567119155,0.0,2486.8161764705883,,23.784125188536954,0.0,965.9979260935144,77.26546003016591,10.758107088989442,5.5593891402714934,55.43589743589744,152.0880467571644,57.18476621417798,4.638574660633484,0.0,37.251131221719454,73.38046757164405,319.2937405731523,0.0,4.6911764705882355,0.0,0.0,30.14027149321267,243.15214932126696,426.19532428355956,0.0,0.0,8,53.66,45.19,-54.84
17008,AZZANO MELLA,BS,2017,Nord-ovest,3394,1,1019.3341190335886,579.4177961107837,104.22569239835003,28.86535061873895,0.0,203.5103123158515,0.0,82.3037713612257,21.01149086623453,907.7480848556276,,70.2595757218621,0.0,0.0,6.571007660577489,0.0,0.0,0.0,85.99057159693577,43.164702416028284,0.0,0.0,14.332056570418386,256.4340011785504,36.14407778432528,0.0,3.2268709487330582,0.23865645256334708,0.0,1.0465527401296406,302.93223335297586,87.40777843252799,0.0,0.0,1,78.69,36.12,136.24
71021,CHIEUTI,FG,2017,Sud,1656,1,3886.6588164251207,717.7995169082126,108.31280193236715,57.29951690821256,0.0,319.57246376811594,87.42632850241546,2596.2487922705313,0.0,4003.474033816425,,67.89009661835749,0.0,87.42632850241546,20.57608695652174,0.0,106.487922705314,0.0,309.5392512077295,76.91062801932367,0.0,0.0,40.21074879227053,36.86292270531401,39.15700483091788,0.0,29.858091787439612,3.4746376811594204,0.0,2.302536231884058,469.1539855072464,2713.6237922705313,0.0,0.0,10,51.52,49.94,-54.21
80093,TAURIANOVA,RC,2017,Sud,15458,1,1740.2560486479492,380.1771898046319,73.69478587139345,114.66282830896623,0.0,22.198602665286582,0.0,1138.764911372752,10.757730624919136,1730.6357872946048,,40.41887695691551,0.0,0.0,25.27228619485056,0.0,7.7389701125630745,7.027170397205331,128.99715357743563,54.25792469918489,0.0,0.1742786906456204,24.403739164186828,34.14212705395265,48.46060292405227,0.0,2.2219562685987837,5.694656488549619,0.0,2.2668521154094967,216.02348298615604,1133.5356449734766,0.0,0.0,9,52.33,44.76,-21.89
79110,SAN MANGO D'AQUINO,CZ,2017,Sud,1520,1,2519.0868421052633,620.4006578947368,85.41118421052632,268.02434210526314,0.0,13.904605263157896,435.65263157894736,1000.8388157894736,94.85328947368421,2951.5105263157893,,48.570394736842104,61.001973684210526,435.65263157894736,22.00263157894737,0.0,0.0,0.0,260.5138157894737,263.8092105263158,98.97171052631579,0.0,22.278947368421054,37.10921052631579,127.7671052631579,0.0,70.3782894736842,0.0,0.0,34.68421052631579,465.2730263157895,1003.4973684210527,0.0,0.0,8,54.43,35.9,-87.22
58117,ARDEA,RM,2017,Centro,49750,1,757.6652864321608,507.4301507537688,51.96582914572864,84.27654271356784,0.0,47.10285427135678,0.0,62.21262311557789,4.677286432160804,673.2134271356784,,42.75019095477387,0.0,2.825788944723618,8.542170854271356,0.0,10.865185929648241,0.0,192.08532663316583,21.582170854271357,0.3052663316582915,0.0,22.584582914572863,48.84761809045226,63.53891457286432,0.0,0.1407035175879397,0.6520603015075377,0.0,0.032623115577889446,195.80084422110554,62.659959798994976,0.0,0.0,9,61.17,33.69,109.34
80012,BOVALINO,RC,2017,Sud,8943,1,679.0979537068098,315.68958962316896,110.95750866599575,108.88080062618808,0.0,60.4179805434418,0.0,61.15732975511573,21.994856312199484,762.2917365537292,,13.250139774125014,0.0,0.0,60.827462820082744,0.0,0.0,0.0,324.91736553729174,0.0,0.0,0.0,13.216034887621603,10.972156994297215,17.030750307503077,0.0,28.23370233702337,0.0,0.0,5.2939729397293975,222.39528122553952,66.1549815498155,0.0,0.0,7,58.4,35.68,-34.48
89007,CASSARO,SR,2017,Isole,769,1,3556.9115734720417,470.73472041612484,120.09362808842653,681.1547464239271,0.0,32.13133940182055,253.88426527958387,1998.9128738621587,0.0,3866.1261378413524,,66.15604681404422,0.0,253.88426527958387,45.71781534460338,0.0,0.0,0.0,258.6332899869961,86.34590377113133,0.0,0.0,57.737321196358906,135.39011703511053,213.75292587776332,0.0,0.25487646293888166,1.7958387516254877,0.0,79.66710013003902,581.3107932379714,2085.479843953186,0.0,0.0,9,46.9,38.85,-8.57
102025,NICOTERA,VV,2018,Sud,6208,1,720.7462951030927,451.67155283505156,102.34471649484536,9.121134020618557,0.0,63.615979381443296,0.0,93.99291237113403,0.0,799.2548324742268,,49.28125,0.0,0.0,95.64932345360825,0.0,0.0,0.0,270.5286726804124,0.0,0.0,2.7311533505154637,17.14110824742268,33.60921391752577,5.497905927835052,0.0,0.4697164948453608,0.04993556701030928,0.0,11.31749355670103,220.22068298969072,92.75853737113403,0.0,0.0,10,44.9,42.66,-78.54
85019,SOMMATINO,CL,2018,Isole,6777,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,46.18,45.71,-89.42
55032,TERNI,TR,2018,Centro,110749,1,3906.328463462424,1061.0038284770067,474.60870978518994,198.50637026067955,0.04055115621811484,572.1230620592511,997.2126610624024,443.25026862545036,159.58301203622605,3657.168155017201,16.52810409123333,127.57139116380283,0.0,1085.6538478902744,120.80420590705108,0.004993273076957806,10.349926410170747,0.0,458.323939719546,211.74808801885345,6.72191171026375,2.3214475977209728,47.098474929796204,192.87462640746193,266.38091540329935,0.0,26.72536095134042,33.61704394622073,19.45577838174611,39.01682182231894,546.1165879601622,462.2305935042303,0.0,0.1522000198647392,1,66.8,25.25,29.69
80064,RIACE,RC,2018,Sud,2321,1,1994.7376130978028,222.2132701421801,49.72770357604481,1541.9663937957778,0.0,37.589831968978885,0.0,111.66264541146057,31.57733735458854,1923.0555794915983,,38.65445928479104,0.0,0.0,125.17190866006032,0.0,0.0,0.0,191.87376130978026,0.0,0.0,0.0,38.79707022834985,65.23007324429125,1091.2757432141318,0.0,0.0,0.0,0.0,8.616975441619992,252.49978457561397,110.93580353295994,0.0,0.0,10,48.21,40.29,-32.97
82013,BORGETTO,PA,2018,Isole,7359,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,45.05,50.81,-31.83
60054,PIGNATARO INTERAMNA,FR,2018,Centro,2499,1,3087.0688275310126,458.2140856342537,175.71268507402962,90.37535014005603,0.0,221.92276910764306,1303.8483393357342,830.625450180072,6.369747899159663,3087.0688275310126,,198.7935174069628,0.0,1525.8459383753502,0.0,0.0,0.4001600640256102,0.0,41.70908363345338,92.76310524209684,0.0,0.0,43.3609443777511,129.96838735494197,7.8359343737495,0.0,0.5674269707883153,0.07683073229291716,0.0,0.8707482993197279,220.4625850340136,824.4141656662665,0.0,0.0,7,56.92,35.81,-41.25
82049,MONREALE,PA,2018,Isole,38884,1,1740.9858039296369,329.3860971093509,94.11565168192573,202.60569900216026,0.0,47.23276926242156,239.1923156053904,822.715101327024,5.738169941364057,1849.2967030140933,,91.04173953296986,0.0,176.42282172615987,17.889028906491102,0.6222610842505915,0.45622878304701164,0.0,193.7640160477317,55.537856187635015,2.978320131673696,0.1666495216541508,30.177862359839523,58.1135171278675,83.7040942289888,0.0,0.6150858965127044,3.7885248431231355,0.0,14.34829235675342,309.7395844048966,809.9308713095361,0.0,0.0,9,48.53,46.32,-10.47
58064,MONTE PORZIO CATONE,RM,2018,Centro,8758,1,5376.478419730532,1032.8208495090203,420.64010047956157,357.27095227220826,0.0,200.8248458552181,406.8626398721169,2915.305663393469,42.75336834893811,5424.970198675496,5.773692623886732,61.328385476136106,35.931148664078556,406.8626398721169,98.17618177666134,1.3619547841973054,1.027631879424526,0.0,254.7105503539621,121.57364695135875,5.879310344827586,0.0,43.27609043160539,277.2725508106874,838.4610641699018,0.0,14.434003197076958,1.4615208951815484,0.0,34.33637816853163,312.16796072162595,2916.709180178123,0.0,0.0,4,68.01,19.37,-1.15
79157,ZAGARISE,CZ,2018,Sud,1582,1,1702.539190897598,475.2161820480405,149.17130214917825,99.67003792667509,0.0,86.93426042983565,753.1106194690266,138.43678887484197,0.0,1644.6504424778761,,22.266118836915297,0.0,749.0233881163085,25.332490518331227,0.2402022756005057,0.0,0.0,136.55246523388115,26.2724399494311,21.884955752212388,1.1877370417193427,43.0897597977244,14.09165613147914,14.069532237673831,0.0,6.865360303413401,0.0,0.0,119.28318584070796,339.85777496839444,124.63400758533501,0.0,0.0,8,50.35,41.78,-79.84
78074,MANDATORICCIO,CS,2018,Sud,2741,1,5477.313389273988,1160.1929952572054,1174.6333454943451,78.8872674206494,0.0,275.82780007296606,1459.3214155417731,1319.6132798248814,8.837285662167092,5486.793870850055,42.342210871944545,218.68624589565852,156.70850054724554,1459.3214155417731,239.25428675665816,0.0,13.50601970083911,272.34439985406783,766.2962422473549,213.94162714337833,3.2845676760306457,0.0,85.78876322510033,44.0226194819409,16.800802626778548,0.0,28.681867931411894,0.3356439255746078,0.0,11.929952572053995,635.9759211966435,1319.9149945275446,0.0,0.0,8,57.37,34.88,-115.4
61022,CASERTA,CE,2018,Sud,75430,1,3468.7828582791994,957.6832825135888,226.80091475540235,153.3399310619117,0.0,325.31110963807504,331.4331167970304,1469.5744398780325,4.640063635158425,3468.7828582791994,24.683110168368025,295.93062441999206,7.598594723584781,331.4331167970304,137.8366830173671,0.0,13.037531486146095,0.928012727031685,441.9331433116797,112.75872994829643,0.37017101948826725,2.640474612223253,67.20062309425958,76.71686331698264,125.92378364046135,0.0,7.207198727296832,1.344756728092271,0.0,37.22095983030624,331.0373856555747,1477.664205223386,0.0,0.0,5,58.61,24.61,-25.52
