municipality,province,year,"AGRICOLTURA, POLITICHE AGROALIMENTARI E PESCA",ANTICIPAZIONI FINANZIARIE,ASSETTO DEL TERRITORIO ED EDILIZIA ABITATIVA,DEBITO PUBBLICO,"DIRITTI SOCIALI, POLITICHE SOCIALI E FAMIGLIA",Disavanzo di amministrazione,ENERGIA E DIVERSIFICAZIONE DELLE FONTI ENERGETICHE,FONDI E ACCANTONAMENTI,GIUSTIZIA,ISTRUZIONE E DIRITTO ALLO STUDIO,ORDINE PUBBLICO E SICUREZZA,"POLITICHE GIOVANILI, SPORT E TEMPO LIBERO",POLITICHE PER IL LAVORO E LA FORMAZIONE PROFESSIONALE,RELAZIONI CON LE ALTRE AUTONOMIE TERRITORIALI E LOCALI,RELAZIONI INTERNAZIONALI,"SERVIZI ISTITUZIONALI, GENERALI E DI GESTIONE",SERVIZI PER CONTO TERZI,SOCCORSO CIVILE,SVILUPPO ECONOMICO E COMPETITIVITÀ,SVILUPPO SOSTENIBILE E TUTELA DEL TERRITORIO E DELL'AMBIENTE,TOTALE SPESE,TRASPORTI E DIRITTO ALLA MOBILITA',TURISMO,TUTELA DELLA SALUTE,TUTELA E VALORIZZAZIONE DEI BENI E ATTIVITA' CULTURALI
VALLE DI MADDALONI,CE,2020,0,1550632,106130,210254,22522,NA,0,nan,nan,48105,107249,17326,0,0,0,639809,318578,0,2206,855664,4043842,161710,2448,nan,1208
PALIZZI,RC,2020,0,1100000,3709490,231800,150124,65995,2210831,164086,0,400725,123015,591591,0,0,0,1375961,4566076,0,40957,7488578,39558898,17012194,156791,0,236679
CASORIA,NA,2020,0,8550236,543288,321106,6087494,NA,1059714,0,171527,3503302,2681834,58523,0,0,0,20822050,42401005,375274,100679,18092024,105865495,1071480,0,0,25957
LEONFORTE,EN,2020,1000,1500000,586909,0,3082351,0,0,1084925,7890,704469,580930,23557,0,0,0,4869000,3064146,18100,137952,2339006,19179314,951643,37345,7950,182141
POGGIO NATIVO,RI,2020,0,nan,10800,341292,30717,NA,0,nan,0,233807,32107,6105,0,0,0,462481,185303,nan,0,574546,1950361,69073,0,0,4132
BUSCEMI,SR,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
DRAGONI,CE,2020,4000,1142597,2045934,516303,657142,17330,182296,6255,0,208933,261706,1627547,0,0,0,3682778,2258207,1643,47411,5781397,22483484,3849694,209643,0,0
GRUMO APPULA,BA,2020,226646,2000000,3462797,417898,13104693,240914,0,168781,0,3160691,1536998,586878,0,0,0,8199425,14228482,0,84486,10974811,60894622,1331476,6741,0,1403820
PIETRASTORNINA,AV,2020,0,1148916,244966,104200,19807,NA,0,0,0,77736,86456,1293,2500,0,0,459436,718629,0,0,147487,3244162,226420,0,9,6306
ARPINO,FR,2020,nan,nan,18982,963923,605389,NA,0,nan,0,470581,373620,nan,0,18584,0,1728772,11372405,4000,51114,1087425,17373999,473848,31000,0,174356
BRANCALEONE,RC,2020,0,4718,755500,237729,510582,NA,0,0,0,68003,164685,13124,0,0,0,1275019,7411686,0,0,1368082,11815420,0,3500,0,2792
ALTILIA,CS,2020,0,697452,82458,45113,34676,NA,nan,nan,0,27551,30909,400,0,0,0,315936,357184,0,61055,209611,1896628,nan,0,0,34284
SANTA DOMENICA VITTORIA,ME,2020,0,1600000,236140,75069,129258,0,10779,60000,0,3237759,35265,1269741,0,0,0,1544586,4724186,258100,0,2542097,15849706,126525,200,0,0
BENESTARE,RC,2020,0,0,19043,160167,763124,NA,0,0,0,74463,73336,0,0,0,0,629544,268174,0,0,411372,2415946,0,0,0,16722
AIDONE,EN,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPICA,RG,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
