municipality,province,year,ACCENSIONE PRESTITI,ANTICIPAZIONI DA ISTITUTO TESORIERE/CASSIERE,"ENTRATE CORRENTI DI NATURA TRIBUTARIA, CONTRIBUTIVA E PEREQUATIVA",ENTRATE DA RIDUZIONE DI ATTIVITÀ FINANZIARIE,ENTRATE EXTRATRIBUTARIE,ENTRATE IN CONTO CAPITALE,ENTRATE PER CONTO TERZI E PARTITE DI GIRO,TOTALE ENTRATE,TRASFERIMENTI CORRENTI
BENESTARE,RC,2020,11704,0,474413,0,149545,245260,253708,2402977,1268348
AIDONE,EN,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
ISPICA,RG,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA
TRABIA,PA,2020,0,7500000,11340838,0,3484953,45538436,1832733,72634420,2937460
ACQUAPPESA,CS,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
SANT'AGATA DI ESARO,CS,2021,64245,3500000,1768969,0,1001400,8321737,1650773,17130160,823036
MANIACE,CT,2021,1076600,2495113,1141910,0,224307,1441151,1449392,8856208,1027736
DECOLLATURA,CZ,2021,0,0,1367407,0,53777,463328,256104,3016659,876043
MILITELLO ROSMARINO,ME,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
MONGIARDINO LIGURE,AL,2021,225074,0,201341,0,27808,270927,106553,852907,21204
BISIGNANO,CS,2021,36149,5939726,3981820,0,823353,2213864,9999157,24973359,1979291
SANT'ANTIMO,NA,2021,11673400,0,11310546,0,3664676,5441173,62163626,104811762,10558341
TAORMINA,ME,2021,0,0,7080583,0,2482762,1152608,2052130,23698679,10930595
SERRA SAN BRUNO,VV,2021,2604812,0,2276694,0,953131,567266,8176882,17514538,2935752
AMOROSI,BN,2021,1011088,3531730,1571636,0,496744,88673,1988861,9754241,1065509
TORA E PICCILLI,CE,2021,209592,800000,989982,0,453272,8440480,2827714,14120497,399457
BARRAFRANCA,EN,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA
FLORIDIA,SR,2021,4345455,13000000,11258964,0,3325539,2056205,4110139,41324147,3227844
CASIGNANA,RC,2021,10555893,4000000,1525573,0,3972595,3541333,514458,24762371,652519
